,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.13,5.66,inf,0.78,4.41,4.18,0.21,0.67,0.97,23.29,20.3,21.41,2.56,2.23,0.46,4.45,0.18,-18.57,-33.27
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.61,3.11,inf,0.32,0.48,0.55,0.44,0.56,1.29,46.45,50.87,44.31,14.99,19.5,8.49,24.82,0.57,-23.17,-10.21
2016,16.08,14.3,3.25,6.37,7.96,3.28,1.25,-99.64,-1.54,7.71,9.63,0.19,0.83,-1.61,0.55,1.08,1.35,0.38,0.62,0.94,41.27,51.58,41.27,22.96,22.72,8.75,16.34,0.38,-30.91,-20.5
2017,6.39,17.02,3.26,6.12,8.05,2.94,0.74,-12.15,-0.97,8.92,11.74,0.15,0.79,-1.01,1.53,2.87,3.78,0.23,0.77,0.79,36.55,48.03,36.49,17.26,19.15,4.37,9.75,0.25,-29.75,-1.53
2018,7.72,13.8,2.61,3.96,5.44,2.07,0.52,25.65,-0.66,7.02,9.62,0.15,0.77,-3.99,2.03,3.09,4.23,0.2,0.8,1.11,38.22,52.13,38.01,14.97,18.9,3.79,10.67,0.25,-3.82,-11.05
2019,5.58,19.47,4.03,5.64,8.08,2.85,0.75,-59.16,-0.97,8.89,12.74,0.15,0.74,inf,1.99,2.79,4.0,0.19,0.81,0.95,35.28,50.56,35.28,14.64,20.68,3.85,11.48,0.26,-8.55,29.64
2020,6.33,7.84,3.61,3.2,3.8,3.3,0.66,-41.19,-0.88,4.74,5.62,0.43,0.92,inf,1.75,1.56,1.85,0.18,0.82,0.94,94.37,103.11,86.92,42.17,46.03,8.45,19.4,0.2,-5.19,16.59
2021,0.11,6.13,3.15,3.71,4.91,3.03,0.64,inf,-0.72,5.41,7.15,0.57,1.11,0.03,2.34,2.76,3.64,0.2,0.72,1.0,74.66,81.59,61.76,49.46,51.45,10.47,13.16,0.21,-5.19,23.78
2022,inf,6.13,3.15,3.71,4.91,3.03,0.64,inf,-0.72,5.41,7.15,0.57,1.11,0.03,2.34,2.76,3.64,0.2,0.72,1.0,74.66,81.59,61.76,49.46,51.45,10.47,13.16,0.21,-5.19,23.78
2023,inf,6.13,3.15,3.71,4.91,3.03,0.64,inf,-0.72,5.41,7.15,0.57,1.11,0.03,2.34,2.76,3.64,0.2,0.72,1.0,74.66,81.59,61.76,49.46,51.45,10.47,13.16,0.21,-5.19,23.78
