,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.08,inf,0.49,0.47,0.53,1.16,48.29,inf,12.73,7.94,10.11,4.74,8.41,0.6,8.19,35.32
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.1,inf,0.51,0.48,0.52,1.31,51.54,inf,18.97,12.17,12.32,5.87,9.24,0.48,3.47,-1.17
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.15,inf,1.78,0.5,0.5,1.39,48.99,inf,9.12,4.81,4.37,2.17,4.59,0.45,-1.78,-10.1
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.14,inf,1.33,0.56,0.44,1.05,50.71,inf,11.91,7.6,6.8,3.79,7.08,0.5,-2.86,-3.15
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.07,inf,0.6,0.62,0.38,0.85,54.65,inf,14.24,14.99,12.86,7.96,7.58,0.53,-3.14,11.07
2019,1.97,11.37,1.74,inf,9.32,2.2,0.98,inf,inf,inf,8.89,1.38,8.99,inf,0.3,0.69,1.48,0.56,0.44,1.04,57.22,55.5,25.98,20.84,16.15,8.98,11.24,0.43,-2.28,18.52
2020,3.75,19.24,1.53,4.25,12.6,2.05,0.85,16.81,-1.14,4.9,14.54,0.76,9.58,inf,0.24,0.65,1.94,0.56,0.44,1.25,53.69,48.31,16.3,10.68,7.95,4.43,7.97,0.41,0.15,-2.43
2021,3.29,10.76,inf,3.37,8.48,1.76,0.64,inf,inf,3.37,8.48,1.22,0.0,inf,inf,0.0,0.0,0.0,0.0,inf,53.25,52.32,20.8,16.38,inf,5.94,inf,0.36,2.95,31.56
2022,4.66,17.97,1.18,3.01,9.5,1.39,0.53,-10.9,-0.65,3.03,9.57,0.69,10.49,-0.41,0.01,0.02,0.07,0.45,0.55,0.79,50.51,46.39,14.68,7.76,6.58,2.96,10.24,0.38,5.81,6.24
2023,3.96,18.23,1.2,3.05,9.64,1.41,0.54,-11.06,-0.66,3.07,9.71,0.69,10.49,-0.42,0.01,0.02,0.07,0.45,0.55,0.79,50.51,46.39,14.68,7.76,6.58,2.96,10.24,0.38,5.81,6.24
