,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-405.73,-608.25,inf,-723.15,126.86,184.3,inf,inf,inf,-726.57,0.0,0.0,-0.86,inf,inf,-3.42,-0.3,1.3,0.97,19.91,inf,-17.54,-31.27,-149.91,-45.42,-39.3,1.45,18.33,inf
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.0,inf,inf,inf,-2.63,-0.47,1.47,0.63,4.32,inf,-92.36,-207.38,-217.09,-101.45,-61.57,0.49,-19.28,inf
2016,inf,-1.91,-0.59,inf,-1.34,2.11,0.6,-0.62,-1.4,inf,-1.36,-1.67,-5.44,0.03,inf,inf,-0.09,-1.02,2.02,0.38,-5.31,inf,-157.2,-110.89,-30.76,-31.27,45.5,0.28,-35.77,inf
2017,inf,-0.71,-0.3,inf,-0.71,1.09,0.98,-0.31,-1.82,inf,-0.69,-4.07,-9.52,0.0,inf,inf,-0.02,-3.21,4.21,0.13,12.74,inf,-153.32,-153.37,-42.81,-137.45,43.27,0.9,-28.13,inf
2018,inf,-24.39,-4.88,inf,-24.33,3.32,2.3,-6.58,-10.69,inf,-25.74,-0.07,-0.37,0.27,inf,inf,-0.44,-0.47,1.47,0.69,24.31,inf,-13.64,-13.6,-20.0,-9.43,22.01,0.69,-33.11,inf
2019,inf,inf,inf,inf,inf,5.26,4.4,inf,inf,inf,inf,-0.05,-0.46,inf,inf,inf,inf,-0.81,1.81,0.49,24.06,inf,-10.7,-10.96,inf,-0.09,inf,0.84,-30.92,inf
2020,inf,-47.96,-5.43,inf,-49.12,5.26,4.4,-6.47,-12.98,inf,-47.62,-0.05,-0.46,0.52,inf,inf,-0.63,-0.81,1.81,0.49,24.06,inf,-10.7,-10.96,-11.31,-9.18,11.93,0.84,-33.11,inf
2021,inf,-47.96,-5.43,inf,-49.12,5.26,4.4,-6.47,-12.98,inf,-47.62,-0.05,-0.46,0.52,inf,inf,-0.63,-0.81,1.81,0.49,24.06,inf,-10.7,-10.96,-11.31,-9.18,11.93,0.84,-33.11,inf
2022,inf,-47.96,-5.43,inf,-49.12,5.26,4.4,-6.47,-12.98,inf,-47.62,-0.05,-0.46,0.52,inf,inf,-0.63,-0.81,1.81,0.49,24.06,inf,-10.7,-10.96,-11.31,-9.18,11.93,0.84,-33.11,inf
2023,inf,-47.96,-5.43,inf,-49.12,5.26,4.4,-6.47,-12.98,inf,-47.62,-0.05,-0.46,0.52,inf,inf,-0.63,-0.81,1.81,0.49,24.06,inf,-10.7,-10.96,-11.31,-9.18,11.93,0.84,-33.11,inf
