,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,3.41,16.75,1.23,13.86,14.13,5.74,0.89,6.48,-1.11,inf,inf,2.48,33.83,0.02,0.14,1.55,1.58,0.72,0.27,3.14,50.89,41.46,40.65,34.3,7.32,5.3,5.73,0.15,-12.49,3.14
2015,4.96,14.61,1.38,11.61,11.61,5.73,1.0,15.47,-1.14,12.36,12.36,3.13,33.09,0.44,0.12,1.02,1.02,0.75,0.25,inf,55.3,49.33,49.33,39.19,9.15,6.87,8.21,0.18,-10.62,-9.09
2016,2.32,2.12,1.03,inf,1.41,1.34,0.69,9.66,-0.78,inf,1.45,30.59,62.75,0.0,0.07,inf,0.09,0.67,0.32,2.81,93.58,inf,94.96,63.35,48.75,32.74,44.74,0.52,21.83,40.06
2017,4.54,8.07,1.0,5.36,5.38,4.08,0.64,5.94,-0.75,5.75,5.77,8.29,66.69,-0.11,0.12,0.64,0.65,0.64,0.35,3.35,78.04,76.15,75.79,50.55,12.43,7.92,11.05,0.16,6.04,10.11
2018,18.17,6.06,1.03,inf,4.63,3.58,0.61,5.01,-0.73,inf,5.57,11.42,67.2,0.16,0.21,inf,0.94,0.6,0.39,4.63,77.23,inf,77.21,59.09,17.0,10.15,14.23,0.17,26.55,125.99
2019,6.69,8.44,1.26,6.82,6.35,4.5,0.69,4.48,-0.89,7.69,7.17,2.68,17.9,inf,0.05,0.29,0.27,0.55,0.36,3.05,71.19,66.0,70.83,53.33,14.94,8.16,11.52,0.15,24.55,36.05
2020,6.26,5.45,1.33,4.61,4.14,4.96,0.75,4.43,-0.96,5.22,4.68,5.1,20.88,inf,0.15,0.51,0.46,0.56,0.43,4.01,69.27,107.52,119.77,90.94,24.44,13.67,19.25,0.15,23.49,46.13
2021,14.76,5.31,1.11,4.06,3.61,2.89,0.55,6.36,-0.63,6.08,5.4,4.58,21.85,inf,0.44,1.6,1.42,0.5,0.49,3.05,74.48,71.22,80.18,54.55,20.96,10.42,16.52,0.19,-6.6,-9.35
2022,4.62,6.7,0.92,5.04,4.34,2.78,0.47,4.49,-0.55,7.81,6.73,3.43,25.1,-0.27,0.42,2.26,1.95,0.5,0.49,3.61,60.17,55.17,64.04,41.5,13.98,7.02,12.74,0.17,15.07,10.62
2023,4.9,6.31,0.86,4.75,4.09,2.62,0.44,4.23,-0.52,7.52,6.48,3.43,25.1,-0.25,0.41,2.26,1.95,0.51,0.49,3.61,60.17,55.17,64.04,41.5,13.68,7.02,12.74,0.17,15.07,10.62
