,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,1.96,28.85,1.27,5.12,12.56,0.83,0.52,1.81,-1.02,6.7,16.44,0.62,14.1,8.61,0.39,1.58,3.88,0.41,0.59,2.4,18.2,16.15,6.58,2.86,4.39,1.8,3.05,0.63,20.54,-10.66
2015,3.97,12.25,1.12,4.51,8.37,0.79,0.47,1.76,-0.9,6.13,11.39,1.53,16.71,0.08,0.4,1.63,3.02,0.42,0.58,2.27,18.97,17.46,9.4,6.42,9.14,3.83,4.19,0.6,12.86,7.35
2016,3.43,-9.54,0.86,15.65,-9.38,0.53,0.36,1.4,-0.69,21.87,-13.1,-1.26,13.92,0.05,0.34,6.21,-3.72,0.42,0.58,2.18,14.28,3.4,-5.67,-5.57,-9.04,-3.8,-6.16,0.68,8.29,inf
2017,3.8,17.15,1.33,5.88,13.84,0.71,0.57,3.12,-1.06,7.57,17.81,1.06,13.76,-0.09,0.38,1.69,3.97,0.43,0.57,1.65,16.36,12.07,5.13,4.14,7.73,3.33,4.73,0.8,6.77,18.25
2018,4.3,10.69,1.32,4.47,7.85,0.6,0.59,2.47,-1.14,5.54,9.73,1.88,15.26,0.14,0.32,1.07,1.87,0.45,0.55,2.0,16.48,13.45,7.66,5.63,12.35,5.54,7.88,0.98,9.1,25.78
2019,4.45,13.08,1.53,5.34,10.23,0.71,0.71,2.48,-1.44,6.29,12.04,1.93,16.56,inf,0.27,0.94,1.81,0.47,0.53,2.31,16.17,13.22,6.91,5.4,11.68,5.44,7.67,1.01,10.64,25.61
2020,inf,-39.67,1.18,5.33,13.94,0.71,0.49,1.67,-1.09,6.74,17.64,-0.53,17.71,inf,0.31,1.41,3.69,0.42,0.58,2.2,16.09,13.32,5.09,-1.79,-2.98,-1.25,3.53,0.7,4.44,inf
2021,2.17,14.09,1.05,3.58,6.61,0.41,0.38,1.31,-0.98,5.25,9.68,1.42,19.09,inf,0.49,1.67,3.08,0.37,0.63,1.92,15.87,11.34,6.15,2.88,7.42,2.72,6.53,0.94,16.82,inf
2022,1.65,7.67,1.27,3.46,5.1,0.41,0.44,1.04,-1.36,4.82,7.09,3.57,21.55,0.06,0.5,1.36,2.0,0.35,0.65,2.66,18.24,11.81,8.02,5.33,16.55,5.73,9.67,1.08,16.82,inf
2023,1.86,6.79,1.12,3.06,4.51,0.36,0.39,0.92,-1.21,4.42,6.51,3.57,21.55,0.05,0.5,1.36,2.0,0.35,0.65,2.66,18.24,11.81,8.02,5.33,16.55,5.73,9.67,1.08,16.82,inf
