,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,3.32,6.75,0.57,2.42,3.25,0.57,0.27,52.35,-0.33,4.88,6.56,0.08,0.93,-0.08,0.62,2.64,3.55,0.48,0.52,inf,45.16,23.59,17.55,8.45,8.44,4.03,8.91,0.48,16.43,inf
2015,3.82,5.6,0.59,3.12,3.12,0.57,0.3,7.12,-0.38,4.87,4.87,1.05,9.9,0.17,0.44,2.3,2.3,0.5,0.5,inf,44.35,18.36,18.36,10.23,10.62,5.28,10.53,0.52,22.12,23.72
2016,3.85,2.23,0.58,inf,1.1,0.7,0.18,7.54,-0.26,inf,1.25,3.36,12.95,0.01,0.11,inf,0.21,0.31,0.63,1.08,43.55,inf,63.88,31.57,25.96,8.04,20.16,0.25,20.84,129.12
2017,27.29,4.6,1.41,2.42,3.23,0.46,0.4,-33.2,-0.59,3.1,4.15,3.62,11.86,0.59,0.44,0.76,1.02,0.29,0.69,0.96,29.97,19.07,14.26,10.02,30.54,8.73,20.91,0.87,53.41,50.44
2018,6.57,5.93,2.33,3.11,3.77,0.9,0.78,6.66,-1.28,3.24,3.93,6.32,16.13,0.08,0.12,0.17,0.2,0.33,0.64,1.42,36.32,29.03,23.94,15.22,39.19,13.06,28.35,0.86,79.28,7.96
2019,0.77,17.98,2.12,5.37,7.85,1.02,0.84,7.38,-1.24,5.65,8.25,1.99,16.9,inf,0.11,0.28,0.41,0.4,0.6,1.54,26.79,19.04,13.04,5.69,11.78,4.67,14.5,0.82,31.46,21.48
2020,2.27,12.56,2.68,4.88,6.17,1.19,1.02,6.99,-1.76,4.6,5.82,3.89,18.27,inf,-0.23,-0.42,-0.53,0.38,0.61,1.54,34.5,24.47,19.35,9.5,21.31,8.16,21.1,0.86,35.12,33.16
2021,13.61,4.91,4.26,3.08,3.31,1.55,1.56,9.31,-2.86,3.03,3.26,21.02,24.24,inf,-0.06,-0.05,-0.05,0.37,0.63,1.58,44.56,50.3,46.82,31.56,86.72,31.77,50.39,1.01,47.87,47.86
2022,15.48,6.42,3.61,3.24,3.58,1.17,1.42,7.69,-2.51,3.39,3.74,12.76,22.67,-0.19,-0.01,-0.01,-0.01,0.39,0.61,1.74,44.77,36.14,32.74,18.24,57.22,22.12,44.37,1.21,19.21,34.37
2023,19.13,5.19,2.92,2.62,2.89,0.95,1.15,6.22,-2.03,2.71,2.99,12.76,22.67,-0.16,-0.01,-0.01,-0.01,0.39,0.61,1.74,44.77,36.14,32.74,18.24,56.29,22.12,44.37,1.21,19.21,34.37
