,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,12.44,-6.34,-6.1,0.05,0.95,1.14,-47.92,-92.8,-96.44,-147.39,-311.51,-15.24,-14.97,0.1,-20.16,inf
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-6.56,-6.39,-0.14,1.14,0.81,-50.0,-137.27,-140.9,-232.93,-141.22,-19.96,-18.9,0.09,-32.14,inf
2016,inf,-0.02,-0.01,-0.02,-0.02,inf,0.01,-0.01,-0.02,-4.18,-4.11,-101.68,-149.23,0.0,inf,-4.16,-4.09,-0.52,1.52,0.59,425.29,inf,inf,inf,-68.14,-35.27,-46.53,-0.02,inf,inf
2017,inf,-0.05,-0.09,-0.06,-0.06,1.04,0.01,-0.06,-0.03,-6.13,-5.89,-35.33,-19.32,0.0,inf,-6.06,-5.83,-0.08,1.08,0.86,-149.82,inf,inf,inf,-182.88,-14.69,-28.32,0.01,-52.9,inf
2018,inf,-0.01,0.04,-0.02,-0.02,0.02,0.0,0.14,-0.01,-3.21,-3.07,-45.88,10.73,0.0,5.65,-3.18,-3.04,0.07,0.93,1.03,-37.93,-96.28,-100.71,-231.94,-427.69,-30.44,-29.73,0.13,-30.35,inf
2019,inf,-0.54,-0.88,-0.73,-0.72,inf,0.23,-0.49,-0.37,-1.92,-1.88,-4.76,-2.9,inf,inf,-1.18,-1.16,-0.26,1.26,0.45,24.48,111.17,113.33,151.8,-164.37,-42.99,-265.92,-0.28,inf,inf
2020,inf,-0.69,-0.55,-0.87,-0.85,2.82,0.38,-0.51,-0.6,-2.13,-2.09,-1.86,-2.34,inf,inf,-1.26,-1.24,-0.7,1.7,0.32,-31.88,-325.91,-332.19,-410.76,-79.54,-55.89,867.79,0.14,-17.04,inf
2021,inf,-3.1,-0.89,-3.65,-3.58,2.63,0.54,-0.9,-1.08,-6.67,-6.53,-0.4,-1.41,inf,inf,-3.02,-2.96,-0.61,1.61,0.45,18.54,-71.97,-73.49,-84.63,-28.62,-17.51,-492.25,0.21,inf,inf
2022,inf,-3.07,-0.55,-1.54,-1.51,1.03,0.3,-0.58,-0.65,-5.2,-5.09,-0.16,-0.91,0.05,inf,-3.65,-3.58,-0.55,1.55,0.51,26.48,-66.48,-67.87,-33.48,-17.96,-9.83,-136.48,0.29,inf,inf
2023,inf,-2.99,-0.54,-1.51,-1.48,1.0,0.29,-0.56,-0.63,-5.16,-5.06,-0.13,-0.74,0.05,inf,-3.65,-3.58,-0.55,1.55,0.51,26.48,-66.48,-67.87,-33.48,-17.96,-9.83,-136.48,0.29,inf,inf
