,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,3.17,21.46,4.0,inf,13.66,1.82,1.82,7.51,-3.47,inf,15.38,1.98,10.59,1.07,0.5,inf,1.72,0.46,0.54,2.05,27.53,inf,13.35,8.5,18.65,8.5,12.49,1.0,12.91,8.46
2015,2.42,17.81,2.22,inf,12.59,1.45,1.1,5.45,-1.84,inf,15.26,2.39,19.12,0.86,0.47,inf,2.66,0.49,0.5,1.99,26.3,inf,11.49,8.13,12.49,6.17,7.75,0.76,16.69,7.22
2016,3.88,18.07,1.63,inf,14.09,0.93,0.77,4.45,-1.36,inf,17.63,1.36,15.15,-0.54,0.41,inf,3.54,0.47,0.52,1.66,25.91,inf,6.57,5.12,9.0,4.25,6.27,0.83,14.55,-4.62
2017,1.98,47.69,1.35,inf,14.09,0.84,0.64,3.21,-1.1,inf,19.34,0.39,13.75,-0.69,0.5,inf,5.25,0.48,0.52,1.92,22.45,inf,5.95,1.76,2.83,1.34,3.18,0.76,11.92,-23.08
2018,5.41,12.82,1.2,inf,8.4,0.74,0.57,2.58,-1.0,inf,11.8,1.4,15.05,0.05,0.48,inf,3.4,0.48,0.52,2.07,24.4,inf,8.8,5.77,9.33,4.45,6.58,0.77,8.1,1.75
2019,4.12,22.28,1.1,5.63,9.28,0.6,0.48,2.69,-0.84,8.54,14.08,0.76,15.43,inf,0.57,2.92,4.81,0.44,0.56,1.71,21.97,10.71,6.49,2.7,4.94,2.16,5.54,0.8,9.15,-13.2
2020,inf,-3.3,0.63,-42.71,-6.12,0.34,0.23,3.13,-0.43,-91.52,-13.1,-2.84,14.92,inf,0.72,-48.81,-6.99,0.37,0.61,1.2,17.68,-0.81,-5.64,-10.44,-19.05,-7.06,-4.81,0.68,3.44,inf
2021,inf,11.83,0.56,2.84,4.27,0.44,0.23,1.49,-0.4,6.17,9.29,0.73,15.34,inf,0.66,3.34,5.02,0.41,0.58,1.55,30.4,15.4,10.23,3.69,4.74,1.93,6.05,0.52,-1.28,-7.53
2022,3.16,31.47,0.61,2.4,2.55,0.41,0.29,1.26,-0.57,3.9,4.14,0.29,15.18,-0.53,0.39,1.5,1.59,0.46,0.52,1.87,35.63,17.08,16.1,1.3,1.98,0.92,13.27,0.71,3.6,-2.43
2023,2.73,32.16,0.62,2.45,2.6,0.42,0.3,1.29,-0.58,3.95,4.2,0.3,15.55,-0.55,0.38,1.5,1.59,0.48,0.52,1.87,35.63,17.08,16.1,1.3,1.92,0.92,13.27,0.71,3.6,-2.43
