,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.67,3.33,inf,-0.11,inf,-0.25,0.29,0.71,1.37,32.44,inf,8.93,3.84,18.47,5.44,17.86,1.42,41.75,inf
2015,16.43,96.81,0.32,inf,1.92,0.07,0.08,1.13,-0.24,inf,inf,0.01,3.29,-0.98,-0.55,inf,-3.28,0.26,0.74,1.13,32.04,inf,3.67,0.07,0.33,0.09,8.54,1.18,17.49,inf
2016,0.07,-48.24,1.63,6.43,6.43,0.23,0.26,-3.4,-0.67,inf,inf,-0.07,2.18,0.06,-0.03,-0.13,-0.13,0.16,0.84,0.89,33.84,3.6,3.6,-0.48,-3.38,-0.54,10.09,1.13,2.14,inf
2017,0.32,55.62,3.91,8.09,10.41,0.42,0.55,-5.23,-1.44,inf,inf,0.15,2.15,-0.18,0.06,0.13,0.16,0.15,0.85,0.87,31.84,5.22,4.06,0.76,6.59,0.98,13.41,1.29,5.72,-9.47
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.21,1.57,inf,0.27,1.07,1.95,0.12,0.88,0.91,29.33,2.4,1.31,-0.99,-10.58,-1.27,3.35,1.28,4.36,inf
2019,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-1.11,0.45,inf,7.85,-22.02,-4.35,0.02,0.98,0.79,28.62,-0.8,-4.06,-5.59,-247.92,-5.87,-24.9,1.05,2.5,inf
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.63,3.74,inf,1.02,2.47,3.78,0.18,0.82,1.04,32.75,8.57,5.6,3.47,16.79,3.04,10.2,0.87,8.45,135.03
2021,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.19,3.53,inf,1.36,12.63,-22.28,0.16,0.84,0.99,30.19,1.96,-1.11,-0.96,-5.27,-0.84,-10.66,0.87,9.29,inf
2022,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.21,3.31,inf,1.39,3.29,6.34,0.15,0.85,0.87,31.04,7.25,3.76,-1.11,-6.47,-0.96,2.86,0.87,3.76,inf
2023,inf,-447.19,28.94,68.31,131.73,4.95,4.3,-58.22,-8.29,4.63,8.93,-0.21,3.31,-29.51,1.39,3.29,6.34,0.15,0.85,0.87,31.04,7.25,3.76,-1.11,-6.47,-0.96,2.86,0.87,3.76,inf
