,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.68,66.44,inf,-0.29,-8.63,-10.27,0.83,0.16,4.89,15.96,1.86,1.56,1.41,2.52,2.11,1.43,1.49,8.83,-13.25
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.54,60.85,inf,-0.16,55.86,14.61,0.85,0.14,4.91,20.68,-0.26,-0.99,0.8,0.89,0.76,-1.67,0.96,-12.75,-40.93
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.52,11.61,inf,-0.11,2.03,1.75,0.82,0.18,3.05,22.1,-5.37,-6.23,-4.5,-4.49,-3.66,-6.56,0.81,-14.81,inf
2017,inf,-40.37,0.72,-45.85,-33.14,0.55,0.57,2.26,-0.89,-32.23,-23.29,-0.18,10.29,0.62,-0.1,6.36,4.6,0.79,0.21,3.28,21.24,-1.2,-1.66,-1.36,-1.78,-1.41,-2.39,1.03,-9.63,inf
2018,inf,11.33,0.47,8.39,9.75,0.24,0.36,1.66,-0.56,7.04,8.19,0.44,10.66,-0.03,-0.08,-1.41,-1.64,0.77,0.23,2.54,15.81,2.89,2.48,2.14,4.14,3.17,2.91,1.48,-7.89,-3.66
2019,1.46,9.49,1.13,7.66,8.44,0.44,0.92,3.21,-1.47,7.21,7.94,1.37,11.54,inf,-0.08,-0.55,-0.6,0.82,0.18,4.16,12.71,5.69,5.17,4.59,11.85,9.66,10.95,2.1,4.61,32.48
2020,1.45,14.73,1.74,9.86,10.33,0.81,1.41,4.25,-2.46,10.65,11.16,1.49,12.68,inf,-0.28,-1.58,-1.65,0.81,0.19,4.44,15.57,8.2,7.83,5.49,11.78,9.55,11.61,1.74,14.81,68.85
2021,1.68,11.71,2.28,8.84,9.09,0.67,1.85,5.03,-3.54,8.59,8.83,2.9,14.88,inf,-0.28,-1.09,-1.12,0.81,0.19,4.39,12.94,7.53,7.32,5.69,19.51,15.83,17.63,2.78,34.55,inf
2022,5.66,6.67,1.26,4.99,5.12,0.4,0.96,2.43,-2.2,5.31,5.44,3.22,17.09,0.61,0.04,0.17,0.17,0.77,0.23,3.41,13.34,7.94,7.75,5.94,18.86,14.45,15.45,2.43,32.16,inf
2023,6.18,6.83,1.29,5.11,5.24,0.41,0.99,2.49,-2.25,5.46,5.6,3.22,17.09,0.62,0.04,0.17,0.17,0.77,0.23,3.41,13.34,7.94,7.75,5.94,18.85,14.45,15.45,2.43,32.16,inf
