,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,15.57,7.17,1.54,5.18,4.28,4.34,0.75,6.27,-0.94,8.16,6.75,2.63,12.26,5.34,0.89,2.99,2.47,0.49,0.51,2.38,88.58,83.83,101.32,60.49,21.42,10.45,16.34,0.17,11.43,20.9
2015,11.26,6.35,1.32,4.36,3.75,3.74,0.65,5.37,-0.85,7.04,6.06,2.64,12.71,12.54,0.81,2.68,2.3,0.49,0.51,2.06,92.32,85.73,99.68,58.96,20.78,10.26,17.11,0.17,14.07,16.23
2016,13.04,8.29,1.66,6.27,5.21,5.14,0.85,8.11,-1.11,9.08,7.54,2.5,12.5,-1.59,0.74,2.8,2.33,0.51,0.49,1.82,89.27,81.86,98.57,61.97,20.01,10.25,16.62,0.17,6.88,11.72
2017,8.27,11.34,1.69,9.65,7.94,6.83,0.91,5.65,-1.2,13.52,11.12,1.88,12.62,-0.46,0.68,3.87,3.18,0.54,0.46,3.02,81.64,70.71,86.0,60.19,14.91,8.05,11.84,0.13,-0.9,1.93
2018,11.81,7.59,1.78,7.16,5.69,4.97,0.94,6.35,-1.22,10.05,7.98,3.11,13.27,0.12,0.72,2.89,2.29,0.53,0.47,2.98,77.84,69.41,87.44,65.51,23.43,12.43,16.29,0.19,2.46,3.71
2019,6.06,10.72,2.18,9.72,7.65,5.98,0.96,4.18,-1.4,14.48,11.39,2.91,14.3,inf,1.07,4.76,3.74,0.44,0.56,3.58,68.02,61.57,78.27,55.82,20.33,8.92,12.28,0.16,3.71,2.06
2020,9.63,5.07,1.91,4.85,3.59,3.22,0.81,7.56,-0.98,7.11,5.27,6.57,17.49,inf,0.89,2.26,1.68,0.43,0.57,2.8,70.57,66.53,89.71,63.54,37.55,16.04,22.3,0.25,18.22,20.0
2021,12.38,5.66,1.87,4.7,3.65,3.61,0.79,17.45,-0.91,7.1,5.52,6.43,19.4,inf,0.96,2.41,1.87,0.42,0.58,1.51,81.31,76.84,98.94,63.76,33.12,13.93,22.42,0.22,20.07,20.76
2022,14.0,8.24,1.82,6.31,4.89,4.56,0.69,5.78,-0.84,10.05,7.79,4.21,19.07,-0.24,1.08,3.74,2.9,0.38,0.62,3.02,80.95,72.3,93.3,55.39,22.06,8.37,14.85,0.15,19.43,17.46
2023,17.77,8.28,1.83,6.36,4.92,4.59,0.69,5.8,-0.84,10.11,7.81,4.21,19.07,-0.24,1.08,3.75,2.9,0.38,0.62,3.02,80.95,72.12,93.3,55.39,22.06,8.37,14.85,0.15,19.43,17.46
