,papel,nome_comercial
0,AALR3,ALLIAR
1,ABCB3,ABC Brasil
2,ABCB4,ABC Brasil
3,ABEV3,AMBEV S/A
4,ABRE3,SOMOS EDUCA
5,ABYA3,ABYARA
6,ACES3,ARCELORMITTAL INOX BRASIL
7,ACES4,ARCELORMITTAL INOX BRASIL
8,ADHM3,ADVANCED-DH
9,AEDU11,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA
10,AEDU3,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA
11,AELP3,AES ELPA
12,AERI3,AERIS
13,AESB3,AES BRASIL
14,AESL3,AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.
15,AESL4,AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.
16,AFLT3,AFLUENTE T
17,AFLU3,AFLUENTE
18,AFLU5,AFLUENTE
19,AGEI3,AGRE EMP IMOB
20,AGEN33,Agrenco
21,AGIN3,Agra Incorp
22,AGRO3,BRASILAGRO
23,AGXY3,AGROGALAXY
24,AHEB3,PARQUE ANHEMBI
25,AHEB5,PARQUE ANHEMBI
26,AHEB6,PARQUE ANHEMBI
27,ALBA3,DANA-ALBARUS S/A INDÚSTRIA E COMÉRCIO
28,ALLD3,ALLIED
29,ALLL11,RUMO S.A.
30,ALLL3,RUMO S.A.
31,ALLL4,RUMO S.A.
32,ALPA3,ALPARGATAS
33,ALPA4,ALPARGATAS
34,ALPK3,ESTAPAR
35,ALSC3,ALIANSCE
36,ALSO3,ALIANSCSONAE
37,ALUP11,ALUPAR
38,ALUP3,ALUPAR
39,ALUP4,ALUPAR
40,AMAR3,LOJAS MARISA
41,AMBP3,AMBIPAR
42,AMBV3,AMBEV
43,AMBV4,AMBEV
44,AMER3,AMERICANAS
45,AMIL3,AMIL
46,AMPI3,AMPLA INVEST
47,ANIM3,ANIMA
48,AORE3,ADVANCED-DH
49,APER3,ALPER S.A.
50,APTI4,ALIPERTI
51,ARCE3,BELGO
52,ARCZ3,ARACRUZ CELULOSE SA
53,ARCZ6,ARACRUZ CELULOSE SA
54,ARLA3,ARTHUR LANGE
55,ARLA4,ARTHUR LANGE
56,ARML3,ARMAC
57,ARPS3,DOUAT CIA TEXTIL
58,ARPS4,DOUAT CIA TEXTIL
59,ARTE3,KUALA S.A.
60,ARTE4,KUALA S.A.
61,ARTR3,ARTERIS
62,ARZZ3,AREZZO CO
63,ASAI3,ASSAI
64,ASSM3,HOTEIS ELDORADO
65,ASSM4,HOTEIS ELDORADO
66,ASTA4,SANTISTA TÊXTIL S.A.
67,ATMP3,ATMASA
68,ATOM3,ATOMPAR
69,AURA32,AURA 360
70,AURA33,AURA 360
71,AURE3,AUREN
72,AUTM3,AUTOMETAL
73,AVIL3,ACOS VILLARES
74,AVLL3,ALPHAVILLE
75,AZEV3,AZEVEDO & TRAVASSOS
76,AZEV4,AZEVEDO & TRAVASSOS
77,AZUL4,AZUL
78,B3SA3,B3
79,BAHI11,BAHEMA
80,BAHI3,BAHEMA
81,BAHI4,BAHEMA
82,BAHI5,BAHEMA
83,BALM3,BAUMER
84,BALM4,BAUMER
85,BAUH4,EXCELSIOR
86,BAZA3,BANCO DA AMAZONIA S.A.
87,BBAS3,BANCO DO BRASIL S.A.
88,BBDC3,BANCO BRADESCO S.A.
89,BBDC4,BANCO BRADESCO S.A.
90,BBRK3,NEXPE
91,BBSE3,BBSEGURIDADE
92,BBTG11,BTG PACTUAL UNITS
93,BBTG12,BTG PACTUAL
94,BBTG13,BTG PACTUAL
95,BCAL6,PRO METALURG
96,BDLL3,BAEDELLA
97,BDLL4,BAEDELLA
98,BECE3,BEC
99,BECE4,BEC
100,BEEF3,Minerva
101,BEES3,BANESTES S/A
102,BEES4,BANESTES S/A
103,BELG3,BELGO
104,BELG4,BELGO
105,BEMA3,Bematech
106,BERG3,BERGAMO
107,BESP3,BANESPA
108,BESP4,BANESPA
109,BFIT3,BANCO SUDAMERIS BRASIL SA
110,BFIT4,BANCO SUDAMERIS BRASIL SA
111,BGIP3,BANESE
112,BGIP4,BANESE
113,BHGR3,BHG
114,BICB3,BicBanco
115,BICB4,BicBanco
116,BIDI11,BANCO INTER
117,BIDI3,BANCO INTER
118,BIDI4,BANCO INTER
119,BIOM3,BIOMM SA
120,BIOM4,BIOMM SA
121,BISA3,BROOKFIELD INCORPORACOES
122,BKBR3,BK BRASIL
123,BLAU3,BLAU
124,BLUT3,B TECH EQI
125,BLUT4,B TECH EQI
126,BMEB3,BANCO MERCANTIL DO BRASIL S/A
